pref_strength,sessions_per_user,seed,cv_r2,n_eval_rows
0.0,28,0,-0.02962288022483106,350
0.0,28,1,-0.007088433400824989,350
0.0,28,2,0.02476217263615721,350
0.0,56,0,-0.0012932569144277206,700
0.0,56,1,0.014021524901507099,700
0.0,56,2,0.0491863859396765,700
0.0,112,0,0.019500313797702007,1400
0.0,112,1,0.04705291887936458,1400
0.0,112,2,0.057184027723244935,1400
0.0,224,0,0.05186487802068629,2800
0.0,224,1,0.033285621096940665,2800
0.0,224,2,0.06055738673776112,2800
0.6,28,0,-0.033432514364069466,350
0.6,28,1,-0.017948871502576402,350
0.6,28,2,0.03736811665518891,350
0.6,56,0,0.02802455951187821,700
0.6,56,1,0.01868857016925385,700
0.6,56,2,0.0678058882712137,700
0.6,112,0,0.037396498392455624,1400
0.6,112,1,0.042344905781417363,1400
0.6,112,2,0.05286816032681352,1400
0.6,224,0,0.07686166850236364,2800
0.6,224,1,0.035172270521360294,2800
0.6,224,2,0.0602738741162786,2800
1.2,28,0,-0.022664750374629117,350
1.2,28,1,0.004709876506160615,350
1.2,28,2,0.13881073565309898,350
1.2,56,0,0.08683328411389246,700
1.2,56,1,0.05647534541169119,700
1.2,56,2,0.16202470344083753,700
1.2,112,0,0.08601681930552285,1400
1.2,112,1,0.05748151261275769,1400
1.2,112,2,0.11122950273241872,1400
1.2,224,0,0.1061717466053228,2800
1.2,224,1,0.0451884516181813,2800
1.2,224,2,0.0870618817881752,2800
2.4,28,0,0.13224774549321305,350
2.4,28,1,0.1255562572878287,350
2.4,28,2,0.2527598058971283,350
2.4,56,0,0.24074547529315538,700
2.4,56,1,0.16470483429248617,700
2.4,56,2,0.282773433840377,700
2.4,112,0,0.18539648524890873,1400
2.4,112,1,0.11895408979555988,1400
2.4,112,2,0.21326625317599135,1400
2.4,224,0,0.1669825677642579,2800
2.4,224,1,0.0956313221673667,2800
2.4,224,2,0.13079537595211832,2800
4.8,28,0,0.1771031655486225,350
4.8,28,1,0.16084357408798156,350
4.8,28,2,0.30362672450539197,350
4.8,56,0,0.2823170683503058,700
4.8,56,1,0.2149018278540028,700
4.8,56,2,0.3236153248735739,700
4.8,112,0,0.21031081252801587,1400
4.8,112,1,0.15193155199014652,1400
4.8,112,2,0.2452347079211028,1400
4.8,224,0,0.1758705713509814,2800
4.8,224,1,0.11433532885522013,2800
4.8,224,2,0.1468032379244576,2800
